Bug ID,Reported Date,Module,Summary,Steps to Reproduce,Attachments,Expected Result,Actual Result,Status,Severity,Priority,Found Cycle ,Comments(Developer),Comments(QA)
BUG_018,11/07/2025,Learner Progress,"There is an unexpected exception coming  when we go to learners progress 
section",Open admin > learning > learners,,The page should open without any exception,There is an unexpected exception coming  when we go to learners section,Open,High,High,,,
BIG_019,11/07/2025,Assets,"There is a ""#"" mark in the heading tab for serial numbers",Open admin > assets,Screenshot by Lightshot,There should be no special character on this place,"There is a ""#"" mark in the heading tab for serial numbers",Open,Low,Medium,,,
BIG_020,11/07/2025,Payroll,"When we attempt to generate payroll by selecting an employee, the payroll 
does not generate successfully.",Open admin > payroll ,,Payroll should be generated,"When we attempt to generate payroll by selecting an employee,
 the payroll does not generate successfully.",Open,High,High,,,
BUG_021,11/07/2025,Payroll,The sorting function is not working for any of the fields in the payroll.,Open admin > payroll ,,Sorting function should work on each field,"The sorting function is not working for any of the fields in the 
payroll.",Open,Low,High,,,
BUG_022,11/07/2025,Job Applications,"There is no validation for any of the input fields such as name , number etc 
in job application","Open admin > Job application > 
Add Job application",,"There should be validation for each input on their 
basis","There is no validation for any of the input fields such as name , number etc 
in job application",Open,Low,Medium,,,
BIG_023,11/07/2025,Recruit Dashboard,The sorting function is not working for any of the fields in total applications.,Open admin > payroll ,,Sorting function should work on each field,"The sorting function is not working for any of the fields in the 
payroll.",Open,Low,High,,,
BUG_024,11/07/2025,Performance,An unexpected exception is coming on kpi and goals page,"Open admin > Performance > KPI 
and goals",,Page should behave properly,An unexpected exception is coming on kpi and goals page,Open,High,High,,,
BUG_025,11/07/2025,Nav bar,"When I open the admin panel and select the performance or report subfield, 
all of the report and performance subfields behave as active, and the tab 
colors change to blue.","Open admin > select any if report 
subfield",Screenshot by Lightshot,The page should not behave like this,"When I open the admin panel and select the performance or 
report subfield, all of the report and performance subfields 
behave as active, and the tab colors change to blue.",Open,High,High,,,
BIG_026,11/07/2025,,,,,,,,,,,,
BUG_027,11/07/2025,,,,,,,,,,,,
BUG_028,11/07/2025,,,,,,,,,,,,
BIG_029,11/07/2025,,,,,,,,,,,,
BUG_030,11/07/2025,,,,,,,,,,,,
BUG_031,11/07/2025,,,,,,,,,,,,
