Bug ID,Reported Date,Module,Summary,Steps to Reproduce,Attachments,Expected Result,Actual Result,Status,Severity,Priority,Found Cycle ,Comments(Developer),Comments(QA)
BIG_014,08/07/2025,Education,Two degrees cannot be considered as the highest qualification.,"Open apk > go to profile > update 
education",,"Two degrees cannot be considered as the highest
 qualification.","Two degrees cannot be considered as the 
highest qualification.",Open,High,High,,,
BIG_015,08/07/2025,Experience,"When we add an experience in the experience section, a message appears 
stating ""employee.experienceEmployee.experience"" instead of ""User 
experience added.""",Open apk > go to profile >  add experience,,"Message stating ""User experience  added"" should 
come","When we add an experience in the experience section, 
a message appears stating ""employee.experienceEmployee.experience""
 instead of ""User experience added.""",Open,Low,High,,,
BUG_016,08/07/2025,Experience,"When we add two experiences, we can list both as currently working, but in 
reality, we should not be allowed to do so.",Open apk > go to profile >  add experience,,"User should'nt be allowed to add two experiences as
currently working","When we add two experiences, we can list both as currently working, but
in reality, we should not be allowed to do so.",Open,High,High,,,
BUG_017,08/07/2025,Experience,"The validation length for company names is too short; adding 15 more 
characters would be beneficial.",Open apk > go to profile >  add experience,,"The validation length for company names is too short; 
adding 15 more characters would be beneficial.","The validation length for company names is too short; adding 15 more 
characters would be beneficial.",Open,High,High,,,
BUG_018,08/07/2025,Experience,"The validation length for Job title is too short; adding 10 more 
characters would be beneficial.",Open apk > go to profile >  add experience,,"The validation length for Job title is too short; adding 
10 more characters would be beneficial.","The validation length for Job title is too short; adding 10 more 
characters would be beneficial.",Open,High,High,,,
BIG_019,08/07/2025,Experience,User should not be allowed to add experience starting tomorrow or later.,Open apk > go to profile >  add experience,,"User should not be allowed to add experience 
starting tomorrow or later.","Users can add their experience with a starting date that is set for today 
or any day in the future.",Open,High,High,,,
BIG_020,08/07/2025,Emergency Contact,"User is unable to update the emergency contact mobile number once after 
adding it.","Open apk > go to profile >  update mobile 
number in emergency contact",,"Users should be able to update the mobile number of 
their emergency contact after it has been added.","User is unable to update the emergency contact mobile number once 
after adding it.",Open,High,High,,,
BUG_021,08/07/2025,Emergency Contact,"When we add an emergency contact, a message appears stating 
""employee education added successfully."" instead of ""emergency contact 
added successfully.""","Open apk > go to profile > add in emergency
 contact",,"Message should state ""Emergency contact added 
successfully.""","When we add an emergency contact, a message appears stating 
""employee education added successfully."" instead of ""emergency contact 
added successfully.""",Open,Low,High,,,
BUG_022,08/07/2025,Emergency Contact,"When we update an emergency contact, a message appears stating 
""employee contact add success."" instead of ""emergency contact 
updated successfully.""","Open apk > go to profile > update emergency
 contact",,"Message should state ""Emergency contact updated
successfully.""","When we update an emergency contact, a message appears stating 
""employee contact add success."" instead of ""emergency contact 
updated successfully.""",Open,Low,High,,,
BIG_023,09/07/2025,Salary,"In the salary section, when we update the bank account holder's name, using 
two spaces after any alphabetic character results in a ""."" (dot character) 
added.","Open apk > go to profile > salary > update 
bank",,"Space should be treated as only space not any other 
character","In the salary section, when we update the bank account holder's name, using 
two spaces after any alphabetic character results in a ""."" (dot character) 
added.",Open,Low,Low,,,
BUG_024,09/07/2025,Salary,"The maximum length of a bank account number is 17 characters, but according 
to international standards, it can be up to 34 characters.","Open apk > go to profile > salary > update 
bank",,"Maximum length of a bank should be 34 as IBAN 
standards","The maximum length of a bank account number is 17 characters, but according 
to international standards, it can be up to 34 characters.",Open,Low,High,,,
BUG_025,09/07/2025,Leave,"When we add a leave from the APK and check the admin panel, it gives an 
unexpected exception related to some SQL queries.",Open apk > go to profile > add leave,,Leave application should be displayed on admin panel,"When we add a leave from the APK and check the admin panel, it gives an 
unexpected exception related to some SQL queries.",Open,High,High,,,
BIG_026,09/07/2025,Leave ,"When we add leave from the admin panel, it is not displayed in the APK leave 
section.",Open admin > go to profile > add leave,,"Leave should be displayed on both admin panel and 
apk lleave section","When we add leave from the admin panel, it is not displayed in the APK leave section.",Open,High,High,,,
BUG_027,09/07/2025,Leave,"When we apply for leave in APK and submit it, a message appears saying ""leave 
applied successfully,"" but the screen continues to load without displaying any 
data.",Open apk > go to profile > add leave,,Leave should be displayed on screen,"When we apply for leave in APK and submit it, a message appears saying 
""leave applied successfully,"" but the screen continues to load without 
displaying any data.",Open,High,High,,,
BUG_028,09/07/2025,Language,Language change is not completely supported,Open apk> go to profile > change language,,Language should be completely supported,Language change is not completely supported,Open,High,High,,,
BIG_029,09/07/2025,Tasks,The data is overflowing from task card in tasks section,Open apk > go to tasks,,Data must come inside  boundaries of card,The data is overflowing from task card in tasks section,Open,Low,High,,,
BUG_030,09/07/2025,Tasks,"The number of comments is not functioning as expected, meaning it does not 
change as required.",Open apk > go to tasks,,The number of comments should be correct,"The number of comments is not functioning as expected, meaning it does not 
change as required.",Open,Low,Medium,,,
BUG_031,09/07/2025,Tasks,"The number of employees working on task is not functioning as expected, 
meaning it does not change as required.",Open apk > go to tasks,,The number of employees should be correct,"The number of employees working on task is not functioning as expected, 
meaning it does not change as required.",Open,Low,Medium,,,
BIG_032,09/07/2025,Tasks,The task status is not updating in the APK dashboard.,Open apk > go to tasks,,Tasks status should be updated on dashboard,The task status is not updating in the APK dashboard.,Open,Medium,High,,,
BUG_033,09/07/2025,,,,,,,,,,,,
BUG_034,09/07/2025,,,,,,,,,,,,
BIG_035,09/07/2025,,,,,,,,,,,,
BUG_036,09/07/2025,,,,,,,,,,,,
BUG_037,09/07/2025,,,,,,,,,,,,
